,Sentiment,TwitterID,Date,QueryType,UserID,Tweet
6493,4,1974595823,Sat May 30 13:27:24 PDT 2009,NO_QUERY,weightlossjuice,"@1antidote - money back guarentee! if you don't lose the weight, full refund   http://snurl.com/hvgsd"
7599,0,1836369823,Mon May 18 07:52:31 PDT 2009,NO_QUERY,JohnnyArmonk,Just doing my usual Internet activities.  Already called recruiters.  Nothing.  
5938,4,2190712279,Tue Jun 16 03:30:48 PDT 2009,NO_QUERY,giannamariexox,english final today. out at like 12 
3385,0,2207760264,Wed Jun 17 08:20:54 PDT 2009,NO_QUERY,LindsayDoran,"Finally have nice weather, to bad it's not going to last "
87,0,2231742616,Thu Jun 18 18:58:15 PDT 2009,NO_QUERY,gialouise,Wants my website to work  glg242.aisites.com
2872,0,2218565437,Wed Jun 17 22:43:01 PDT 2009,NO_QUERY,ewoodhams,I wish I could afford to see Giada at Aspen Food and Wine this weekend 
8494,0,2262370139,Sat Jun 20 22:22:52 PDT 2009,NO_QUERY,Ampylove,is glad to be back in LR...but not so much for the situations she will have to deal with that have been brought up today. 
952,4,1996194081,Mon Jun 01 14:41:02 PDT 2009,NO_QUERY,SECURITYJ,"@Mum_of_Six Well --- after the 3 kids?????? No - no , i won' be tempted!!!honest "
280,4,2057549086,Sat Jun 06 13:12:37 PDT 2009,NO_QUERY,ChrissyGerman,Relaxing 
6921,0,1981126350,Sun May 31 08:28:39 PDT 2009,NO_QUERY,Smokieofbmore,Re-pinging @MsQueenn: Somethings wrong with my Twinkleeeeee!!  ha ha :p but I still love you tho
3840,4,1960157924,Fri May 29 07:30:58 PDT 2009,NO_QUERY,jessjohnson18,On way home blasting mcfly in the back of the car in the sun good times 
9872,4,1754353519,Sun May 10 05:58:35 PDT 2009,NO_QUERY,OfficialBF1943,"@youngguitargod Aren't you a demanding follower. It has been announced all over, but to save you the time looking it's June 2009.  "
1189,0,2208335700,Wed Jun 17 09:04:19 PDT 2009,NO_QUERY,PrincessLyssy,Is w/ Grandma Connie &amp;Erica... Heading out to the ropes course.... We're lost 
5742,4,2052217386,Sat Jun 06 00:01:11 PDT 2009,NO_QUERY,JamieLeiJonas,"Im so bored im going to bed. Ehh. Jonas on sportscenter, yes please  they were good. Esp nick &lt;3"
9617,0,1980577874,Sun May 31 07:07:38 PDT 2009,NO_QUERY,LitasTweetPage,so not in the mood to wake up this early 
4683,0,1822711625,Sat May 16 20:12:29 PDT 2009,NO_QUERY,kellykillluhhh,my body hurts  massage?
5473,0,2001691091,Tue Jun 02 01:44:24 PDT 2009,NO_QUERY,sexidance,#NAME?
2605,4,1992398737,Mon Jun 01 08:41:22 PDT 2009,NO_QUERY,demib,@mattcutts I just can't workout and focus on a small screen - even less type anything ... Are you working out hard enough? 
5450,4,1550993834,Sat Apr 18 07:51:08 PDT 2009,NO_QUERY,Koshdukai,"ok, so.. &quot;Organaut&quot; sounds great, great presets but the VST parameters engine is a bit flacky :/ so... guess I'll mention &quot;VH-1&quot; instead "
2741,0,1468650569,Tue Apr 07 02:57:33 PDT 2009,NO_QUERY,marinasg,wants her iPod. 
2684,4,1753902656,Sun May 10 04:02:32 PDT 2009,NO_QUERY,Ryan_A_Smith,"@chrispringle Luke M here, thanks Ps Chris! Ur husband is pretty cool I reckon! Sorry u were feeling sick and hope you feel better soon! "
5071,0,1980138557,Sun May 31 05:49:12 PDT 2009,NO_QUERY,senraj,"After 7 yrs, Rossi hasn't won the Italian motogp...  at least he has got a podium finish!"
1738,4,2049323992,Fri Jun 05 16:40:56 PDT 2009,NO_QUERY,LeizaC,@50cent omg lol i can't believe i've found the man i bin dreamin bout all my life!! haha  hope all is good 4 u and BIG kisses 2 ya! ha xXx
